water pH 1,ground water level 1,ground water level 2,soil moisture 1,soil moisture 2,soil moisture 3,motor monitor 1,motor monitor 2,salinity I,salinity E,air RH I,air RH E,wall temp I C,wall temp E C,wall mc1 I,wall mc2 I,wall mc3 I,wall mc1 E,wall mc2 E,wall mc3 E,rain intensity,rain duration,wind speed,wind direction (radians),crack1A,crack1B,crack2A,crack2b,crack3
6.91,4.99,2.95,32.94,43.49,37.12,23,2,19.8675575,7.76654447,41.9891642,29.752228,10.01989778,-0.620172167,0.001132487,0.001234162,0.001724216,0.001,0.001,0.001,0.55,13.8891699,3.97848343,1.75229535,-0.001240344,-0.000620172,-0.000310086,-0.000930258,-6.19172E-05
5.65,5.96,6.95,43.91,57.88,45.92,52,62,6.70503109,15.3215563,23.2299431,4.76025644,6.556539889,-4.045082944,0.001712233,0.001786023,0.001577808,0.000771667,0.00078666,0.000385459,0,0,8.52910997,0.12338385,-0.008090166,-0.004045083,-0.002022541,-0.006067624,-0.00040447
6.04,5.57,4.91,50.01,56.7,47.12,99,29,16.8661636,21.3819543,22.5029129,27.4748291,-5.067845944,-6.924689,0.001,0.001,0.001,0.001,0.001,0.001,3.73,14.5580995,7.11110008,1.10135057,-0.013849378,-0.006924689,-0.003462345,-0.010387034,-0.000692369
8.22,3.23,2.22,18.22,20.69,20.49,33,71,7.3357641,19.1087672,25.2382244,30.8726803,-1.409163611,3.809170667,0.001,0.001,0.001,0.001,0.001,0.001,0,0,2.80254635,3.84605811,0.007618341,0.003809171,0.001904585,0.005713756,0.000381017
8.99,4.76,6.16,36.36,41.99,37.4,76,50,14.9491432,25.2755139,9.19637032,22.9018889,-1.264564222,-12.57052945,0.001,0.001,0.001,0.001,0.001,0.001,0,0,3.58799538,2.54369536,-0.025141059,-0.012570529,-0.006285265,-0.018855794,-0.001256953
5.92,3.34,7.79,30.28,43.17,32.53,100,39,2.48415581,14.8100193,32.6019378,18.5886151,-11.16709989,-3.032137667,0.001,0.001,0.001,0.001,0.001,0.001,2.79,14.6705153,10.2945858,4.07883828,-0.006064275,-0.003032138,-0.001516069,-0.004548207,-0.000303114
7,6.36,4.48,55.55,68.34,52.75,1,31,9.94841903,13.8241281,47.0970763,25.7611282,0.530216056,-4.458059167,0.014895176,0.016644496,0.014479907,0.009734475,0.009793788,0.003889476,3.06,2.5395848,14.6361637,6.0579476,-0.008916118,-0.004458059,-0.00222903,-0.006687089,-0.000445417
6.93,3.73,2.47,43.53,54.78,43.04,15,29,19.3751177,27.2490483,39.752435,42.7061678,-10.72471928,-3.673136111,0.001,0.001,0.001,0.001,0.001,0.001,0,0,3.45678956,2.10289781,-0.007346272,-0.003673136,-0.001836568,-0.005509704,-0.000367214
6.99,5.07,6.74,41.36,49.85,36.47,18,99,28.5527245,18.2381378,22.0836456,20.890334,2.457600278,-3.564968333,0.00275823,0.003143907,0.003273751,0.00203861,0.002044829,0.001039828,1.83,21.0195945,14.1856783,3.67111812,-0.007129937,-0.003564968,-0.001782484,-0.005347453,-0.000356393
8.21,3.59,6.74,26.49,29.8,21.49,2,100,13.133256,10.956132,33.0093183,12.3260099,-4.183682611,-4.815185111,0.001,0.001,0.001,0.001,0.001,0.001,0,0,3.2115027,5.81151156,-0.00963037,-0.004815185,-0.002407593,-0.007222778,-0.000481419
6.04,5.91,6.63,34.66,41.13,32.1,12,60,27.7920677,8.62724642,27.9358668,35.8594957,-0.773860833,5.055981778,0.001,0.001,0.001,0.001,0.001,0.001,0.08,2.24182467,0.83716489,4.11200403,0.010111964,0.005055982,0.002527991,0.007583973,0.000505698
6.66,4.62,5.97,29.42,42.27,33.88,13,66,22.2213155,29.7010194,23.058447,41.301864,3.888330222,0.374593056,0.001756059,0.001907079,0.002234739,0.001839395,0.001893639,0.001183568,3.21,14.6442377,4.31057262,2.47638877,0.000749186,0.000374593,0.000187297,0.00056189,3.75777E-05
6.91,6.13,7.01,47.93,65.62,50.54,4,92,8.6740248,6.60508946,43.7680503,34.9550178,-4.211368944,-0.299095556,0.001,0.001,0.001,0.001,0.001,0.001,3.34,5.42897005,0.96822645,4.52950549,-0.000598191,-0.000299096,-0.000149548,-0.000448643,-2.98096E-05
6.47,7.72,4.56,64.89,76.09,56.75,11,33,6.97184688,23.1771802,18.1605495,32.0571462,0.450482278,-8.597942944,0.021081783,0.018624621,0.018600322,0.008706977,0.008663828,0.004089968,0,0,9.09298766,4.50766788,-0.017195886,-0.008597943,-0.004298971,-0.012896914,-0.000859385
6.15,8.71,4.13,57.16,73.36,58.58,64,82,26.3670334,25.9461259,38.0388894,17.5410632,-0.392279056,6.593971833,0.001,0.001,0.001,0.001,0.001,0.001,0,0,10.8373826,4.50787512,0.013187944,0.006593972,0.003296986,0.009890958,0.000659497
5.41,5.88,7.59,50.55,60.59,46.96,35,13,11.1314627,18.285991,11.4300642,76.3932783,1.444090556,8.989221333,0.006045843,0.00604279,0.006071284,0.009249147,0.009336808,0.004499956,0,0,6.22919728,0.98455836,0.017978443,0.008989221,0.004494611,0.013483832,0.000899372
6.76,4.07,3.16,27.27,34.46,23.12,50,81,24.5160562,15.3269207,18.7719673,31.7302213,-7.160405778,0.9125045,0.001,0.001,0.001,0.001,0.001,0.001,2.73,2.76020644,1.12820577,0.03293664,0.001825009,0.000912505,0.000456252,0.001368757,9.13505E-05
